Word,Morphs
ja',ja'
li,li
q'aaq',q'aaq'
rene',r ne'
jwa'x,j wa'x
juntir,juntiir
ri',ri'
li,li
jchaak,j chaak
jun,jun
anm,ánim
jk'ome',j k'am e'
rupiis,r upiis
rene',r ne'
rupiis,r upiis
juntir,juntiir
rene',r ne'
jkiyem,j kiyem
i,i
jun,jun
wunaq,wunaq
rene',r ne'
jchaak,j chaak
pake,pake
nik',nik'
qe,qe
porke,porke
ri',ri'
qe,qe
li,li
wi',wi'
wi',wi'
wi',wi'
wi',wi'
istorya,istorya
pwes,pwes
ke,ke
taljwi'laq,tal j wi'l aq
loke,loke
xen,x en
taq,taq
ójor,ójor
taq,taq
qawinaq,qa winaaq
pwes,pwes
ke,ke
tijkoj,ti j koj
taq,taq
saq'oril,saq'or il
trna'tqa,t r na' tq a
awaj,awaj
ri',ri'
k'u,k'u
li,li
xij,x ij
taq,taq
lojori,lojori
chi,chi
anm,ánim
chi,chi
wunaq,wunaq
nik',nik'
qe,qe
jk'utik,j k'ut ik
ra,ra
rupiisaq,r upiis aq
o',o'
kwalkyer,kwalkyer
qelen,qleen
ke,ke
nik',nik'
qe,qe
qab'antaaj,qa b'an taaj
rk'i,r k'i
wunaq,wunaq
i,i
anm,ánim
porke,porke
qetami',q etam i'
ke,ke
tiijb'alib',tii j b'al ib'
re,re
laq,laq
eswel,eswel
wi',wi'
jderech,j derech aq
anm,ánim
wi',wi'
jderech,j derech
wunaq,wunaq
nik',nik'
qe,qe
qaderech,qa derech
kita',kita'
niijun,nii jun
nim,nim
chiqe,chi qe
oj,oj
niri,niri
wach,wach
ulew,uleew
niri,niri
wach,wach
ulew,ulew
wi',wi'
mas,mas
tijb'ij,ti j b'ij
taq,taq
ójor,ójor
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
tijb'ij,ti j b'ij
taq,taq
re,re
xaq,xaq
wunaq,wunaq
wi',wi'
lwar,lwar
tijtijoj,ti j tijoj
rib',r ib'
i,i
anm,anim
re,re
anm,anim
qe,qe
ta',ta'
jtaqik,j taq ik
anm,anim
re,re
rene',r ne'
rupiis,r upiis
la,la
jaa,jaa
tons,tons
tijb'ij,ti j b'ij
taq,taq
re,re
jchuuch,j chuuch
at,aat
tacheje',t a chaj e'
man,man
awk'lal,aw k'laal
ta',ta'
kita',kita'
t'el,t' el
laq,laq
eskwel,eskwel
xaq,xaq
wunaq,wunaq
si,si
ta',ta'
qelen,qelen
t'ok,t'ok
re,re
b'oo,b'oo
leskwel,l eskwel
re,re
si,si
wi',wi'
lwar,lwar
tretmaaj,t r etmaa j
or,or
anm,anim
no,no
entons,entons
qaqaaj,qa qaaj
qachuuch,qa chuuch
sacheli',sach el i'
jun,jun
kitz,kitz
jpensaraq,j pensar aq
ke,ke
xaq,xaq
tijye',ti j ye'
taq,taq
ri,ri
ri,ri
ri,ri
lwar,luwar
re,re
wunaq,wunaq
cha',cha'
i,i
re,re
anm,anim
noo,noo
antons,antons
ke,ke
ri,ri
ri',ri'
qe,qe
xaq,xaq
wunaq,wunaq
wi',wi'
wi',wi'
wi',wi'
wi',wi'
wi',wi'
wi',wi'
lwar,lwar
tijoj,tijoj
rib',r ib'
i,i
anm,anim
kita',kita'
raj,ra j
jchoq'ab',j choq'ab'
pero,pero
lojori,lojori
tqila'n,t q il a'n
pwes,pwes
ke,ke
ya,ya
lojori,lojori
ya,ya
ke,ke
nik'qe,nik' qe
rk'i,r k'i
ya,ya
tqila'n,t q il a'n
i,i
ya,ya
xuqi'n,x uq i'n
qanoj,qa noj
ke,ke
nik',nik'
qe,qe
qab'entaajk,qa b'entá j ik
ke,ke
nik',nik'
qe,qe
qab'antajk,qa b'anta jk
loke,loke
tretmaaj,t r etemaa j
jun,jun
wunaq,wunaq
tretmaaji',t r etamaa j i'
jun,jun
anm,ánim
porke,porke
lojori,lojori
tqaya',t qa ya a'n
kwent,kwent
re,re
loq'laj,loq'laj
taq,taq
chaak,chaak
tijin,tijin
tren,t r en
taq,taq
wi',wi'
chaq,chaq
mas,mas
anm,ánim
ke,ke
ya,ya
wi',wi'
chaq,chaq
mas,mas
chaak,chaak
rechaq,rechaq
antonses,antonses
nik',nik'
qe,qe
qab'antajk,qa b'anta jk
xaq,xaq
oj,oj
qe,qe
pwes,pwes
si,si
tqak'am,t qa k'am
jtziijaq,j tzij aq
ójor,ójor
taq,taq
qaqaaj,qa qaaj
qachuuch,qa chuuch
ke,ke
ta',ta'
tqaye',t qa ye'
lwar,lwar
re,re
tra,tra
anm,ánim
kita'n,kita'n
nik',nik'
qe,qe
qab'antajk,qa b'anta jk
chiji',chi ji'
wunaq,wunaq
chi,chi
anm,anim
nik',nik'
qe,qe
qa,qa
qa,qa
qa,qa
qa,qa
qab'antajk,qa b'ajta jk
i,i
nik',nik'
qe,qe
qáchak,qa chaak
loke,loke
jun,jun
chaak,chaak
tren,t r en
loke,loke
tkwin,t kwin
jun,jun
wunaq,wunaq
chijb'anik,chi j b'an ik
tikwini',ti kwin i'
jun,jun
anm,anim
per,per
tinawa'x,tin a wa'x
na,na
li,li
li,li
leskwel,l eskwel
tijtijoj,ti j tijo j
na,na
rib',r ib'
na,na
juntir,juntiir
tina,ti na
jch'ek,j ch'ek
na,na
ra,ra
ra,ra
tina,ti na
jtijoj,j tijo j
rib',r ib'
i,i
k'ex,k'ex
tijtij,ti j tij
na,na
chi,chi
jch'ekik,j ch'ek ik
ra,ra
ra,ra
ra,ra
restudiy,r estudiy
pero,pero
si,si
wi',wi'
jun,jun
utzil,utz il
tretmaaj,t r etamaa j
tons,tons
ri',ri'
k'u,k'u
li,li
qab'antaj,qa b'antaj
pwes,pwes
noj,noj
nik',nik'
qe,qe
chi,chi
wunaq,wunaq
i,i
chi,chi
anm,anim
ri',ri'
li,li
qab'antaj,qa b'antaj
niri,niri
ri,ri
ojti,oj ti
oj,oj
kwin,kwin
pwes,pwes
tqak'ex,t qa k'ex
qano'j,qa no'j
qapensar,qa pensar
baay,baay
li,li
juntir,juntiir
rii'n,ri i'n
segun,segun
loke,loke
ta'l,ta'l
inwi'l,in wi'l
iin,iin
ke,ke
jun,jun
ra,ra
jun,jun
ra,ra
wunaq,wunaq
titik,ti tik
k'ux,k'ux
re,re
re,re
ltiyempo,l tiyempo
re,re
sa'j,sá'j
i,i
kwando,kwando
kwando,kwaand
b'esel,b'esel
cha',cha'
b'esel,b'esel
xe',xe'
lij,li j
xe',xe'
li,li
k'echelaaj,k'ichelaaj
tijk'amech',ti j k'ame ch'
k'ux,k'ux
re,re
jtiyempo,j tiyempo
sa'j,sa'j
tipet,ti pet
i,i
tyu',t yu'
tyu',t yu'
chi,chi
rchoch,r chooch
tijtij,ti j tij
tra,tra
k'ux,k'ux
cha',cha'
i,i
baa,baa
tijtij,ti j tij
k'ux,k'ux
i,i
kabalmente,kabalmente
ke,ke
pechik,pe chik
juntir,juntir
chik,chik
e,e
xe',xe'
chik,chik
juntir,juntir
i,i
despwes,despwes
kabal,kabal
xk'ul,x k'ul
ra,ra
ék'el,ák'el
cha',cha'
xiij,x iij
re,re
cha',cha'
ke,ke
miraa,miraa
cha',cha'
re,re
cha',cha'
sii,si
i,i
nemoo,ne moo
k'u,k'u
aat,aat
ke,ke
tatij,ta tij
k'ux,k'ux
sa'j,sa'j
iin,iin
chuwaj,ch uw aj
jun,jun
wee,wee
tamyen,tamyen
cha',cha'
ra,ra
ék'el,ák'el
re,re
cha',cha'
a,a
noo,noo
tcha',t cha'
re,re
cha',cha'
ke,ke
iin,iin
ta',ta'
lugar,lugar
tinsipaj,t in sipaj
iin,iin
qe,qe
namas,na mas
wetam,w etam
lamas,lamas
tintij,t in tij
k'ux,k'ux
cha',cha'
re,re
cha',cha'
nombre,n ombre
jo',jo'
noo,noo
cha',cha'
man,man
wunaq,wunaq
re,re
xe',xe'
cha',cha'
kwando,kwando
xe',xe'
jili,jili
li,li
xe',xe'
chik,chik
juntir,juntiir
xme',x m e'
chik,chik
k'ux,k'ux
i,i
baa,baa
tijtij,ti j tij
k'ux,k'ux
re,re
jtiyempo,j tiyempo
sa'j,sa'j
i,i
kabalmente,kabalmente
kwando,kwando
xpe,x pe
chik,chik
juntir,juntir
ra,ra
ra,ra
ék'el,ák'el
xiij,x iij
re,re
mira,mira
lojori,lojori
si,si
tin,tin
tinb'e,t in b'e
ák'il,ák'il
lojori,lojori
si,si
chuwaji',ch waaj i'
k'ux,k'ux
miraa,miraa
cha',cha'
man,man
wunaq,wunaq
re,re
cha',cha'
inbee,in bee
ák'il,ák'il
cha',cha'
re,re
cha',cha'
ke,ke
lajori,lajori
estaa,astaa
biyeen,biyeen
atb'e,at b'e
uk'il,uk'il
pok,pok
ta',ta'
naa,naa
tayol,t a yol
re,re
re,re
jun,jun
chik,chik
porke,porke
iin,iin
tintij,t in tij
k'ux,k'ux
uk'anqe,uk'an qe
cha',cha'
man,man
wunaq,wunaq
re,re
cha',cha'
baa,baa
estaa,astaa
biyeen,biyeen
xe',xe'
k'u,k'u
ra,ra
xe',xe'
man,man
wunaq,wunaq
pech,pech
ra,ra
ék'el,ák'el
i,i
xk'am,x k'am
b'ik,b'ik
ya,ya
kwand,kwand
xtaw,x taw
taq,taq
re,re
man,man
chij,chi
chi',j chi'
man,man
k'echelaaj,k'echelaaj
xiij,x iij
re,re
cha',cha'
mira,mira
cha',cha'
re,re
cha',cha'
ke,ke
lajori,lajori
mutz',mutz'
ab'aq'wich,a b'aq' wich
cha',cha'
re,re
cha',cha'
tabiyeen,ta biyeen
xmutz',x mutz
jb'aq'wich,j b'aq' wich
i,i
kwando,kwando
xya',x ya'
kwent,kwent
ra,ra
ék'el,ék'el
wi',wi'
chaq,chaq
li,li
jun,jun
jun,jun
jaa,jaa
biyeen,biyeen
seraa,seraa
baa,baa
de,de
teraasa,teraasa
juntir,juntiir
i,i
xij,xij
re,re
cha',cha'
nemoo,ne moo
niri,niri
chaq,chaq
win,win
cha',cha'
re,re
cha',cha'
a,a
porke,porke
awetami'n,aw etam i'n
ke,ke
kwando,kwando
xinb'ij,x in b'ij
chawe,ch aw e
jinon,jilon
ri,ri
pores,pores
ke,ke
woj,w ooj
chaq,chaq
niri,niri
lamas,lamas
woj,w ooj
saber,saber
cha',cha'
re,re
xaq,xaq
iin,iin
qe,qe
wetam,w etam
cha',cha'
man,man
wunaq,wunaq
re,re
cha',cha'
baa,baa
estaa,estaa
biyeen,biyeen
xwa'x,x wa'x
li,li
lajori,lajori
cha',cha'
re,re
cha',cha'
tqatzek,t qa tzek
kinaq',kinaq'
cha',cha'
man,man
wunaq,wunaq
re,re
cha',cha'
i,i
kabal,kabal
xelchich,x el chi ch
man,man
jun,jun
chik,chik
man,man
wunaq,wunaq
man,man
jun,jun
xiij,x iij
re,re
maj,ma j
pech,pech
cha',cha'
weno,weno
cha',cha'
re,re
cha',cha'
ke,ke
lajori,lajori
qatzeke',qa tzak e'
kinaq',kinaq'
despwes,despwes
tzekmaj,tzek maj
kinaq',kinaq'
qawi'l,qa wi'l
ooj,ooj
b'e,b'e
li,li
jun,jun
mandar,mandar
cha',cha'
re,re
tabiyeen,ta biyeen
xe',xe'
k'u,k'u
maa,maa
maj,maj
wunaq,wunaq
pwes,pwes
xtzaq,x tzaq
tzaq,tzaq
uxub',uxub'
tra,tra
jb'aq'wich,j b'aq' wich
tra,tra
kinaq',kinaq'
ril,r il
jun,jun
ra,ra
b'o'j,b'o'j
antons,antons
xiij,x iij
taq,taq
re,re
ra,ra
ék'el,ék'el
atkan,at kan
niri,niri
kwand,kwand
ooj,ooj
petik,pet ik
tqa,taq
qa,qa
tqab'an,t qa b'an
qalmwers,q almwers
cha'saj,cha' sáj
re,re
cha',cha'
tabiyeen,ta biyeen
i,i
kabalmente,kabalmente
kwando,kwando
xok,x ok
taq,taq
nonli,non li
li,li
tzekik,tzek ik
kinaq',kinaq'
uxub',uxub'
tra,tra
jb'aq'wich,j b'aq' wich
kinaq',kinaq'
xtzek,x tzek
taq,taq
i,i
kabalmente,kabalmente
kwando,kwando
xpechik,x pe chik
yaaj,yaaj
yaaj,yaaj
ék'el,ák'el
chik,chik
xiij,x iij
por,por
gust,gust
qe,qe
iin,iin
ta',ta'
tijye',ti j ye'
taq,taq
jun,jun
kitz,kitz
wee,wee
cha',cha'
cha',cha'
ke,ke
iin,iin
mas,mas
tra,tra
kitz,kitz
xtzek,x tzek
taq,taq
uxub',uxub'
jb'aq'wich,j b'aq' wich
i,i
rechaq,rechaq
kib',kib'
rb'ilaq,r b'il aq
ni,ni
jun,jun
bokad,bokad
ta',ta'
tren,t r en
loke,loke
yataq,ya taq
tintzaq,ti in tzaq
na,na
jun,jun
puñ,puñ
cha',cha'
kond,kond
tzaq,tzaq
taq,taq
jun,jun
puñ,puñ
kabalmnete,kabalmente
kwando,kwando
yamer,yamer
chaq',chaq'
ra,ra
ra,ra
kinaq',kinaq'
raaqin,raaq i'n
ra,ra
b'o'j,b'o'j
cha',cha'
kwando,kwando
raaqin,raaq i'n
ra,ra
b'o'j,b'o'j
i,i
kabalmente,kabalmente
wen,wen
xiij,x iij
lajori,lajori
raqin,raq in
ra,ra
b'o'j,b'o'j
komo,komo
maq,maq
kistyan,kistyan
ta',ta'
xwi'la'n,x wi'l a'n
lemas,le mas
lamas,lamas
xk'am,x k'am
taq,taq
b'i,b'i
kom,kom
wi',wi'
ka',ka'
jun,jun
ra,ra
jun,jun
ra,ra
kaaxaa,kaaxaa
jun,jun
ra,ra
kofree,kofree
nojsool,noj sool
nojsool,noj sool
chowech,chowech
atz'iq,atz'iq
cha',cha'
per,per
rechaq,rechaq
xk'am,x k'am
taq,taq
b'ik,b'ik
maq,maq
atz'iq,atz'iq
maq,maq
mant,mant
cha',cha'
maq,maq
saq,saq
xe',xe'
taqch,taq ch
xijtoretaqch,x i j tor e' taq ch
jab',jab'
cha',cha'
i,i
xtore',x tor e'
taqch,taq ch
jab',jab'
cha',cha'
baa,baa
xpee,x pee
k'u,k'u
yaj,yaj
ék'el,ék'el
li,li
iin,iin
tinb'e,t in b'e
rk'ilaq,r k'il aq
cha',cha'
xk'amech',x k'am e' ch'
maqatz'iq,maq atz'iq
xkoj,x koj
jun,jun
atz'iq,atz'iq
xe'k',xe'k
xe',xe'
chaq,chaq
li,li
tew,tew
cha',cha'
i,i
xe'k',xe'k'
xtaw,x taw
li,li
jun,jun
lmar,l mar
kwand,kwand
xtaw,x taw
lmar,l mar
xtoreech',x tor e ch'
ja',ja'
i,i
tpe,t pe
jab',jab'
kongan,kon gan
ta',ta'
chki',chk i'
tuwa'r,ti wa'r
jab',jab'
entons,entons
maq,maq
ni'j,ni'j
xen,x en
taq,taq
man,man
q,q
li,li
cha',cha'
man,man
ra,ra
ék'el,ék'el
ri',ri'
maq,maq
atz'iq,atz'iq
xkoj,x koj
cha',cha'
jo',jo'
tqachape',t qa chap e'
cha',cha'
taq,taq
ta,ta
biyeen,biyeen
maj,maj
taq,taq
chapik,chap ik
jnon,jnon
li,li
ya,ya
alayre,al ayre
pwes,pwes
i,i
i,i
baa,baa
troqtaj,t r oqta j
taq,taq
ra,ra
ék'el,ék'el
alfinal,al@final
de,de
kwenta,kwenta
ta',ta'
xkwin,x kwin
taq,taq
re,re
no',no'
xpe,x pe
man,man
wunaq,wunaq
cha',cha'
lojori,lojori
neen,neen
moo,moo
tqa'an,t qa 'an
re,re
tqa,t qa
tqat'oj,t qa t'oj
qat'oje',qa t'oj e'
chi,chi
ray,ray
mojor,mojor
porke,porke
tqat'oj,t qa t'oj
tawil,t aw il
inpuch,inpuch
jnon,jnon
li,li
si,si
tikami'n,ti kam i'n
si,si
noo,noo
ta',ta'
tkam,t kam
tabiyeen,ta biyeen
cha',cha'
petzel,petz el
cha',cha'
kwando,kwando
xt'oj,x t'oj
taq,taq
jun,jun
ray,ray
re,re
cha',cha'
kwand,kwand
ri',ri'
chaq,chaq
ril,r il
taq,taq
putzul,putz uul
xi',xi'
qejoq,qej oq
ra,ra
ék'el,ék'el
chuchaq,ch uch aq
antonses,antonses
xiij,x iij
taq,taq
ke,ke
ya,ya
xani'n,x an i'n
i,i
ya,ya
stuw,stuw
cha',cha'
taq,taq
kla',kla'
qe,qe
xk'is,x k'is
man,man
ral,ral
istoriya,istorya
kwand,kwand
xink'uli'k',x in k'uli' ik
re,re
ójr,ójor
taq,taq
tziij,tziij
in,in
ák'el,ák'el
na,na
tos,entoons
re,re
kond,kwand
xink'uli',x in k'uli'
b'ik,b'ik
de,de
katorse,katorse
yaañ,año
kond,kwand
xink'uli'k',x in k'uli' ik
i,i
rik'i,r ik'il
wálb',wa ál ib'
xijtaq,x in j taq aq
taq,taq
lamaas,lamaas
i,i
xinb'ana',x in b'an a'
kumpliir,kumpliir
jno,jono
la,la
maas,maas
jno,jono
jno,jono
pu,pi
miq'iin,miq'iin
xintijooj,x in tijo j
wib',w ib'
re,re
taq,taq
poop,poop
xintijooj,x in tijoj
wib',w ib'
re,re
jun,jun
opiisyo,opiis
juntiir,juntiir
wetaami'n,w etaam i'n
wetaam,w etaam
poop,poop
wetaam,w etaam
juntiir,juntiir
xinb'an,x in b'an
i,i
dyes,dyees
aañ,año
xinwá'x,x in wá'x
la,la
jrchooch,jri ichooch
wálb',wálb'
dyes,dyees
aañ,año
tos,entoons
wálb',wálb'
re,re
xijchwe,x
ke,ke
tinb'an,t in b'an
qus,qus
i,i
tinb'an,t in b'an
utziil,utz iil
bay,baa
xinb'an,x in b'an
kumpliir,kumpliir
xinb'an,x in b'an
kumpliir,kumpliir
kond,kwand
xojk'iiy,x oj k'iy
rk'i,r k'i
mas,maas
k'ax,k'ex
xqatiij,x ttiij
tamb'yeen,tambyeen
i,i
k'axi',k'ex i'n
xqatiij,x ttiij
per,peer
ke,ke
remedye,remedyee
peer,peer
xqab'ana',x qa b'an
kumpliir,kumpliir
xojkojoni'n,x oj kojó ni i'n
ri,ri
xink'uli',x in k'uli'
chik,chik
b'iik,b'ik
ri,ri
in,in
k'ulnaq,k'ul naq
ni,ni
k',ka'
re',re
syempre,syempre
tqab'ana',t qa b'an a'
sufrir,sufrir
aalgo,algo
tqa'an,t qa b'an
sufrir,sufrir
alg,algo
tos,entoons
ri,ri
k'u,k'u
li',li
qaaj,qaaj
re,re
xinb'an,x in b'an
ójr,ójor
jno,jono
pe,pet
meq'iin,miq'iin
k'axi',k'ex i'n
aq,a aq
tzan,k'atzaan
taq,taq
ójr,ójor
i,i
tandas,taant
xinb'an,x in b'an
aprender,aprender
b'aniik,neen
poop,poop
xwetamaaj,x wat am aaj
jb'aniik,j b'an iik
b'o'j,b'o'j
juntiir,juntiir
juntiir,juntiir
wetami'n,w etam i'n
lajori,lijori
tob'iy,tob'iiy
wetami'n,w etam i'n
wet,wat
skeere,sikeer
inkwint,in kwin ta'
na,na
chi,chi
jb'aniik,j b'an iik
per,peer
ta',ta'
ch,chi
inkwínik,in kwin ik
ta',ta'
ch,chi
intz'aqónik,in taq
qaaj,qaaj
ta',ta'
chi',chi
intz'aqónik,in taq
ta',ta'
chi',chi
tinch'ij,t tch'ij
pwers,pwers
chaq,chaq
ri,ri
tinkoj,t in koj
jwaa,j waa
maq,maq
ák'l,ék'il
ri,re
ójr,ójor
taq,taq
tziij,tziij
ta',ta'
peen,pena
xinpe,x in pet
baq,b'aq
loom,loom
ximpe,xim pu
juntiir,juntiir
luwar,luwar
xinpe,x in pet
jno,jono
ch'anuuj,ch'anuuj
xinpe,x in pet
lomas,lamaas
luwar,luwar
jluwuraq,j luwar aq
wálb',wálb'
kom,koom
k'is,k'is
wi',wi'
jluwraq,j luwar aq
k'is,k'is
wi',wi'
jbyenaq,j byeen aq
ontikeer,ontikeer
laad,laad
xinpe'w,x in pet w
ontikeer,ontikeer
laad,laad
xinpe'w,x in pet w
bay,baa
jiloon,jilon
li,li
qaaj,qaaj
re',re
xin,x in
xin,x in
sik',sik'
inw,iinwa
xinélk,x in el ik
syempre,syempre
xojkojooni'n,x oj kojón i'n
xojkojooni'n,x oj kojón i'n
chuuh,chiwch uu
qaqaj,qa qaaj
qachuwch,qa chuwch
naq,naq
xinkoja',x in koj a'
inqaaj,in qaaj
inchuuch,in chuuch
naq,naq
xinkojoon,x in koj o' on
chuuchaq,chuuch aq
i,i
jilon,jilon
chik,chik
rk'i,r k'i
wálb',wálb'
chik,chik
mism,miim
naq,naq
xinkoja'n,x in koj i'n
loke,loke
nen,neen
naq,naq
xiij,xiij
taq,taq
xinkoja'n,x in koj a'n
lo,lo
ke,ke
nen,neen
ri',ri'
li,li
qaaj,qaaj
ri,ri
naq,naq
xinb'an,x in b'an
in,in
e,ee
ri,ri
lojori,lajor ri
ya,ya
xi',xi'
tyeemp,tyeemp
re,re
perk,peer ke
ya,ya
xi',xi'
alg,algo
intyemp,in tyeemp
aj,aj yo'l
ri,ri
iil,il
lajo',lajo'
ri,ri
chik,chik
ri,ri
syempre,syempre
k'ex,k'ex
qab'ana',qa b'an
sufrir,sufrir
re,re
qanesida,qa nesesidad
per,peer
nen,neen
tqab'an,t qa b'an
nen,neen
tqab'an,t qa b'an
qaaj,qaaj
porke,porke
wi',wi'
rajwexk,rajwéxik
wi',wi'
rejwexik,rajwéxik ik
loke,loke
nen,neen
teqab'an,t qa b'an
wi',wi'
rejewaxik,rajwéxik ik
nen,neen
loke,loke
nen,neen
teqab'an],t qa b'an
nesesida,nesesidad
oj,oj
chakúnik,chaak un ik
porke,porke
ri',ri'
teb'a,teb'a
qus,qus
teqachep,t qa chap
elaq',elaq'
noo,noo
ta',ta'
qus,qus
qaaj,qaaj
ri',ri'
tzi,tzi
oj,oj
chakúnik,chaak un ik
ri',ri'
tzi,tzi
oj,oj
chapónik,chap on ik
ri',ri'
tzi,tzi
oj,oj
eel,el
taata,taat
ri',ri'
li,li
ri,ri
enjeemple,ejeempl
we,we
in,in
qaaj,qaaj
ri',ri'
li,li
ri,ri
enjempl,ejeempl
inqaaj,iin qaaj
in,in
chuuch,chuuch
enjempl,ejeempl
re,re
tzan,k'atzaan
taq,taq
wálb',wálb'
tamb'yen,tambyeen
juntiir,juntiir
li,li
xkan,x kan
jb'iij,j b'ij
taq,taq
li,li
chiqe,chi q e
ri,ri
li,li
ri',ri'
li,li
enjeempl,ejeempl
re,re
qaqaaj,qa qaaj
qachuuch,qa chuuch
ójor,ójor
nen,neen
jb'iij,j b'iij
a,a
wálb',wálb'
áanm,ánim
ifwálb',wálb'
ánm,ánim
katarina,katarina
kalaam,kalaam
katarina,katarina
kalaam,kalaam
b'iij,b'iij
wálb',wálb'
ánm,ánim
ri',ri'
wálb',wálb'
wunaq,wunaq
miguel,miguel
méndez,méndez
miguel,miguel
méndez,méndez
lópez,lópez
jb'iij,j b'iij
wálb',wálb'
wunaq,wunaq
ri,ri
wálb',wálb'
ánm,ánim
katarina,katarina
kalaam,kalaam
jb'iij,j b'iij
ri',ri'
li,li
wálb',wi álib'
ka',ka'
li,li
qaaj,qaaj
ri',ri'
li,li
ivi,i
niri,niri
xatyu',x at yu'
li,li
alb'ixiik,al b'ik x iik
kwando,kwaand
xatk'uli',xa
ifno,no'
ma,ma
neri,niri
ta'n,ta'n
taat,taat
ji,ji'
xin,x in
alib'ix,alib' ix
rij,ri iij
kub'i',kub'i'
dyes,dyees
aañ,año
xinwa'x,x in wa'x
kla',kla'
dyes,dyees
aañ,año
xinb'an,x in b'an
rij,ri
rij,ri
kub'i',kub'i'
li,li
ruk',ruk'
re,re
xoj,xoj
xoj,xoj
eel,el
na,na
si,si'
no,no'
ji',ji'
wooj,w ooj
riij,ri
kub'i'y,kub'i'
riij,r iij
kub'i'y,kub'i'
wooj,w ooj
kla',kla'
wooj,w ooj
taat,taat
naji',naj i'
li,li
xoj,xoj
wa'x,wá'x
kla',kla'
xojwa'xi'n,xoj wa'x i'n
ch'anuuj,ch'anuuj
kaad,kaada
por,por
temporaad,temporaad
oj,oj
el,el
b'i,b'ik
neri,niri
ch'anuuj,ch'anuuj
oj,oj
aq'an,aq'an
chik,chik
b'a,b'a
loom,loom
jili,jili
b'a,b'a
b'a,b'a
saqwech,saqwech
oj,oj
xinwa'x,x in wa'x
xansaj,x b'an saa j
wuchoch,w ichooch
kla',kla'
xansaj,x b'an saa j
wuchooch,w ichooch
xinwa'xi',x in wá'x i'n
kla',kla'
ivlamas,lamaas
t'i'ame',ti k'am e'
taq,taq
ja',ja'
ifqame',q k'am
ja',ja'
est,asta
xe',xe'
k'eche'laaj,k'ichelaaj
b'a,b'a
b'a,b'a
loom,loom
b'i,b'ik
jili,jili
b'ik,b'ik
qame',q k'am
ja',ja'
kla',kla'
kla',kla'
tpe'w,t pet w
qája',qa ja'
i,i
xaan,xab'an
qechooch,q ichooch
kla',kla'
naj,naj
wa'x,wá'x
kla',kla'
ifta',ta'
kaan,kan
qaaj,qaaj
no,no'
ta'n,ta'n
nada,nada
ta',ta'
ka'n,ka'n
pake,pake
awaas,awaas
ta',ta'
ka'n,ka'n
xqil,x q il
jwich,j wich
ta'n,ta'n
ri,ri
koj,koj
che',che'
taq,taq
re,re
jun,jun
ka'n,ka'n
puur,puro
tuun,túun
tuoq',ti oq'
xe',xe'
loom,loom
ji',ji'
wii',wi'
wi',wi'
ka'n,ka'n
i,i
naj,naj
naj,naj
xinwa'x,x in wá'x
neri,niri
ch'anuuj,ch'anuuj
tamyeen,tambyeen
naj,naj
xinwa'x,x in wá'x
kla',kla'
kla',kla'
ay,ay
dyos,dyoos
bay,baa
re,re
kla',kla'
si,si'
ma'ajlam,ma' ajla m
junaab',junaab'
xinb'an,x in b'an
kla',kla'
tamyeen,tambyeen
naaji',naj i'n
xinwa'x,x in wá'x
i,b'ik
kerneero,karneero
wákix,wakix
rik'i,ri k'i
k'atzan,k'atzaan
taq,taq
wálb',w álib'
ójr,ójor
bay,baa
li,li
ri,ri
naji',naj i'n
ri,ri
xqab'an,x qa b'an
kla',kla'
qila'n,q il a'n
qila'n,q il a'n
r,r
q'uuq',q'uuq'
k'is,k'is
wi',wi'
taq,taq
xe',xe'
loom,loom
wi',wi'
tqa'n,t qa a'n
q'uuq',q'uuq'
wi',wi'
tqa,t qa
li,li
k'iche'laaj,k'ichelaaj
lajori,lijori
kita',kita'
chiki'n,chik i'n
qaaj,qaaj
tisach,t sach
jwichaq,j wich aq
b'an,b'an
tyarin,tantyar iin
sachi,sach i
jwichaq,j wich aq
sachi,sach i'n
jwichaq,j wich aq
qaaj,qaaj
ta,ta'
chiki'n,chik i'n
tachiki',ta' chik i'n
ka'n,ka'n
ta',ta'
chiki',chik i'n
oj,ooj
eel,el
tamyeen,tambyeen
penikare,derepeet
wa,we
wi',wi'
wet,wat
ojeel,oj el
b'ik,b'ik
koom,koom
ta,ta'
chi',chi'
oj,oj
eeik,el ik
ójr,ójor
ri,ri
qa,qa
qachaak,qa chaak
ojwakat,oj wakat
kom,koom
oj,oj
ak'al,ák'el
na,na
oj,oj
ak'al,ák'el
wi',wi'
oj,oj
el,el
b'ik,b'ik
ta',ta'
chiki',chik i'n
xinwa'xi'n,x in wa'x i'n
xinwa'xi'n,x in wa'x i'n
ay,ay
dyoos,dyoos
naj,naj
naj,naj
tyemp,tyeemp
li,li
wa'x,wa'x
b'a,b'a
loom,loom
b'a,b'a
saqwech,saqwech
tijb'ij,tij ib' ij
taq,taq
li,li
xwa'x,x wa'x
wuchooch,w ichooch
kla,kla'
ójr,ójor
wa'xi',wa'x i'
wuchooch,w ichooch
kla',kla'
chuch,chuch
wálb',w álib'
naji,naj iin
xinwa'x,x iin wa'x
kla',kla'
tos,entoons
xin,x in
xineel,x in el
kla,kla'
xinel,x in el
ch'anuuj,ch'anuuj
chik,chik
ptaq,pu taq
tyeemp,tyeemp
ptaq,pu taq
tyeemp,tyeemp
re,r e
